sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
die direktoren schwimmen,-35.26164245605469,-33.11630630493164,-33.11616134643555,-23.014142990112305,-23.274232864379883,-21.81748390197754,-42.122154235839844,-35.21903610229492,-35.667564392089844,-23.095218658447266,-24.55830955505371,-22.013187408447266,-52.068702697753906,-45.74582290649414,-51.91902542114258,-22.835893630981445,-24.103046417236328,-23.54419708251953
die direktoren schwimmt,-36.27843475341797,-34.54619216918945,-32.35920333862305,-25.471290588378906,-27.031068801879883,-24.423480987548828,-40.39153289794922,-38.43650436401367,-37.55326843261719,-25.83516502380371,-28.502220153808594,-24.319076538085938,-54.67787170410156,-47.48863983154297,-56.05976867675781,-27.69022560119629,-29.135650634765625,-27.825754165649414
die direktoren sprechen,-33.821834564208984,-31.709762573242188,-32.11994552612305,-22.666027069091797,-23.180307388305664,-22.130657196044922,-36.6485595703125,-36.37148666381836,-33.58430480957031,-23.200590133666992,-23.77682113647461,-21.012922286987305,-50.81556701660156,-48.019657135009766,-47.306854248046875,-23.652210235595703,-25.410398483276367,-25.254575729370117
die direktoren spricht,-36.61576461791992,-33.90802764892578,-33.47974395751953,-25.57471466064453,-25.34911346435547,-25.051233291625977,-41.97789764404297,-36.13072967529297,-36.84988021850586,-26.5653133392334,-26.722429275512695,-23.929664611816406,-51.888797760009766,-52.80378723144531,-49.680484771728516,-26.534358978271484,-28.999317169189453,-28.714311599731445
die direktoren lachen,-36.040374755859375,-32.696372985839844,-34.07963180541992,-26.370887756347656,-27.56332015991211,-25.377851486206055,-43.13050079345703,-38.100067138671875,-35.56047058105469,-27.160280227661133,-28.62665557861328,-25.303939819335938,-50.816158294677734,-49.578731536865234,-48.763389587402344,-27.05547332763672,-25.687786102294922,-27.548805236816406
die direktoren lacht,-35.90427017211914,-33.31331253051758,-33.81047439575195,-30.216411590576172,-32.53779602050781,-28.98027992248535,-41.98664093017578,-37.84070587158203,-37.59138870239258,-30.560192108154297,-34.190643310546875,-29.05046844482422,-50.2335090637207,-53.69185256958008,-53.9468994140625,-25.666881561279297,-28.466564178466797,-28.405101776123047
die bauern sind alt,-19.847341537475586,-19.46835708618164,-20.053016662597656,-21.959701538085938,-22.65865707397461,-24.95929718017578,-22.574066162109375,-21.11117935180664,-22.39811897277832,-22.63189697265625,-23.32063102722168,-25.18281364440918,-22.567920684814453,-19.195680618286133,-20.700462341308594,-17.739910125732422,-17.68410301208496,-17.213825225830078
die bauern ist alt,-24.766712188720703,-24.541645050048828,-25.49831199645996,-26.56104278564453,-26.374452590942383,-28.547313690185547,-28.570453643798828,-25.546749114990234,-29.003753662109375,-27.024505615234375,-26.114036560058594,-29.031169891357422,-25.979629516601562,-27.210025787353516,-28.187997817993164,-22.424070358276367,-22.72688102722168,-23.809463500976562
die bauern sind jung,-21.437437057495117,-21.060638427734375,-24.163162231445312,-22.684974670410156,-21.999107360839844,-24.03812026977539,-23.21216583251953,-22.635414123535156,-27.150493621826172,-22.586345672607422,-22.98306655883789,-24.242589950561523,-26.906578063964844,-21.969953536987305,-24.846420288085938,-19.197996139526367,-18.78876304626465,-17.642803192138672
die bauern ist jung,-26.532804489135742,-26.72507667541504,-30.6722412109375,-26.669132232666016,-26.155887603759766,-28.301651000976562,-30.496999740600586,-28.604108810424805,-34.69792938232422,-26.100746154785156,-26.125263214111328,-29.18060874938965,-31.62025260925293,-29.381019592285156,-31.724437713623047,-26.252548217773438,-24.0289306640625,-23.26498031616211
die bauern sind klein,-20.113977432250977,-17.145578384399414,-19.756616592407227,-21.36636734008789,-20.334774017333984,-20.6904239654541,-22.40204620361328,-19.05988883972168,-21.549591064453125,-21.993356704711914,-21.053760528564453,-21.400070190429688,-22.87865447998047,-19.62705421447754,-17.4510440826416,-16.742206573486328,-17.116779327392578,-16.90904998779297
die bauern ist klein,-25.144027709960938,-23.5067138671875,-27.132478713989258,-25.25804901123047,-24.831539154052734,-25.125783920288086,-29.59222984313965,-26.58477210998535,-30.74358367919922,-25.82684898376465,-24.76822280883789,-26.021408081054688,-26.829057693481445,-26.95947265625,-26.430463790893555,-22.421907424926758,-22.55563735961914,-22.567710876464844
die bauern sind groß,-18.413265228271484,-17.289142608642578,-19.840744018554688,-20.553123474121094,-19.34754180908203,-21.590774536132812,-21.202077865600586,-19.540956497192383,-23.155750274658203,-21.84612274169922,-19.614925384521484,-22.143829345703125,-21.29546356201172,-17.095985412597656,-15.917482376098633,-18.060245513916016,-16.272525787353516,-16.799663543701172
die bauern ist groß,-22.227460861206055,-22.07082748413086,-24.777606964111328,-24.47279167175293,-24.126712799072266,-25.588199615478516,-25.963436126708984,-25.005647659301758,-28.06985855102539,-25.55206871032715,-23.25630760192871,-25.95704460144043,-25.596179962158203,-24.2623233795166,-22.90033721923828,-24.88506507873535,-21.823625564575195,-21.679014205932617
die bauern schwimmen,-19.813461303710938,-18.513626098632812,-20.42621421813965,-19.331689834594727,-19.09490966796875,-18.371429443359375,-23.248310089111328,-20.3673095703125,-20.828571319580078,-19.35631561279297,-19.453323364257812,-18.25508689880371,-25.685306549072266,-25.243879318237305,-23.469928741455078,-20.009185791015625,-18.214061737060547,-18.020130157470703
die bauern schwimmt,-22.10150146484375,-23.26315689086914,-24.73428726196289,-22.26559829711914,-21.840778350830078,-21.235187530517578,-24.13523292541504,-26.802125930786133,-26.72904396057129,-23.50394630432129,-22.05535888671875,-21.422760009765625,-28.794801712036133,-30.544586181640625,-25.244903564453125,-24.983570098876953,-25.406221389770508,-22.565242767333984
die bauern sprechen,-21.446258544921875,-21.271556854248047,-21.271310806274414,-20.181882858276367,-20.702463150024414,-21.333036422729492,-23.249874114990234,-21.80217742919922,-23.930557250976562,-20.871997833251953,-22.410219192504883,-22.390562057495117,-29.48431396484375,-24.701988220214844,-24.01259994506836,-18.780166625976562,-18.517784118652344,-18.758708953857422
die bauern spricht,-23.47777557373047,-22.591636657714844,-25.481067657470703,-21.46475601196289,-19.925018310546875,-20.456207275390625,-25.947174072265625,-23.87887191772461,-28.380434036254883,-20.977540969848633,-19.593467712402344,-20.52311134338379,-33.31904220581055,-31.871295928955078,-28.783370971679688,-26.251224517822266,-25.12875747680664,-27.86909294128418
die bauern lachen,-20.28553009033203,-20.42523956298828,-20.539321899414062,-24.727296829223633,-23.69769287109375,-20.750852584838867,-22.548851013183594,-21.400466918945312,-21.336393356323242,-26.75278091430664,-24.433895111083984,-21.93794059753418,-26.12531280517578,-27.18484115600586,-28.851627349853516,-24.597061157226562,-22.538785934448242,-24.21308135986328
die bauern lacht,-24.9754638671875,-23.04509162902832,-26.537031173706055,-28.68072509765625,-30.308204650878906,-25.16424560546875,-28.289382934570312,-24.884899139404297,-28.857995986938477,-28.499561309814453,-30.925003051757812,-27.118955612182617,-32.37481689453125,-32.741729736328125,-32.72023391723633,-23.285308837890625,-25.36665153503418,-23.733495712280273
die chirurgen sind alt,-36.76219940185547,-37.43723678588867,-33.794883728027344,-18.420019149780273,-17.342981338500977,-20.563987731933594,-41.92681884765625,-44.77265930175781,-42.431549072265625,-18.801668167114258,-17.98854637145996,-20.31200408935547,-35.90665817260742,-37.81341552734375,-37.53802490234375,-30.10756492614746,-30.31097412109375,-29.503345489501953
die chirurgen ist alt,-37.0494384765625,-36.655025482177734,-34.230712890625,-20.094249725341797,-19.31601333618164,-24.42643165588379,-45.00522232055664,-42.80614471435547,-46.26941680908203,-21.420822143554688,-17.563499450683594,-24.908679962158203,-38.68113708496094,-43.93656539916992,-40.27880096435547,-33.29803466796875,-33.838314056396484,-34.476287841796875
die chirurgen sind jung,-38.05011749267578,-38.6416015625,-36.0263671875,-16.89854621887207,-17.84357452392578,-19.50701904296875,-42.54085159301758,-45.19529724121094,-44.59199905395508,-17.354341506958008,-19.83688735961914,-19.932559967041016,-37.88756561279297,-39.04035186767578,-40.75867462158203,-35.19493103027344,-34.206336975097656,-31.25282859802246
die chirurgen ist jung,-38.404441833496094,-38.83938980102539,-37.50718688964844,-19.268661499023438,-19.988948822021484,-24.951786041259766,-44.892601013183594,-44.92979431152344,-47.28835678100586,-19.545574188232422,-19.352840423583984,-25.79065704345703,-41.04301071166992,-45.09317398071289,-43.409183502197266,-40.917659759521484,-38.18383026123047,-37.158199310302734
die chirurgen sind klein,-38.94783020019531,-37.29364013671875,-34.801475524902344,-16.26478385925293,-15.061822891235352,-17.36095428466797,-44.38268280029297,-44.96821594238281,-45.26932907104492,-16.422048568725586,-15.933879852294922,-17.798377990722656,-39.49152374267578,-40.892513275146484,-38.31022644042969,-30.585102081298828,-30.624818801879883,-28.30060577392578
die chirurgen ist klein,-39.00908279418945,-38.49472427368164,-36.847496032714844,-18.09410858154297,-18.074462890625,-22.994365692138672,-46.41018295288086,-45.716835021972656,-47.766387939453125,-19.44948959350586,-16.976993560791016,-23.98483657836914,-43.82088088989258,-46.52745056152344,-42.783958435058594,-35.251766204833984,-34.811649322509766,-33.75749969482422
die chirurgen sind groß,-36.856483459472656,-36.960018157958984,-34.70338821411133,-16.04709243774414,-13.934579849243164,-17.500423431396484,-42.15540313720703,-43.428253173828125,-43.50322341918945,-17.159456253051758,-14.971893310546875,-18.557682037353516,-38.821598052978516,-39.55659484863281,-39.30488586425781,-31.274375915527344,-30.013221740722656,-29.224781036376953
die chirurgen ist groß,-36.53160858154297,-36.789772033691406,-34.67434310913086,-17.460987091064453,-17.399066925048828,-21.94898223876953,-44.402259826660156,-43.611915588378906,-44.119686126708984,-19.15468978881836,-15.957856178283691,-22.85613250732422,-42.9328727722168,-45.12706756591797,-41.69902038574219,-36.20349884033203,-34.16841125488281,-33.49895477294922
die chirurgen schwimmen,-38.382118225097656,-36.411781311035156,-34.68215560913086,-14.466303825378418,-13.777670860290527,-16.491119384765625,-43.686920166015625,-42.817176818847656,-42.26155090332031,-14.99747371673584,-13.353743553161621,-16.693721771240234,-46.52843475341797,-43.77845001220703,-43.4791145324707,-35.5746955871582,-35.77236557006836,-37.74412155151367
die chirurgen schwimmt,-38.25071716308594,-37.90576934814453,-35.32651138305664,-15.204241752624512,-15.111632347106934,-17.240337371826172,-42.86330032348633,-44.512062072753906,-47.517356872558594,-14.963199615478516,-14.443280220031738,-17.542232513427734,-49.53563690185547,-47.71493911743164,-48.89946746826172,-38.76813888549805,-39.841346740722656,-42.608890533447266
die chirurgen sprechen,-36.872840881347656,-35.53831481933594,-32.55780792236328,-13.45407772064209,-15.073694229125977,-16.140338897705078,-40.564762115478516,-39.94603729248047,-39.747745513916016,-14.610251426696777,-15.04393482208252,-16.190690994262695,-41.862979888916016,-42.37206268310547,-39.74028015136719,-29.296958923339844,-31.201156616210938,-30.353239059448242
die chirurgen spricht,-37.18103790283203,-34.835906982421875,-32.808555603027344,-15.96240234375,-14.927194595336914,-16.570919036865234,-43.10992431640625,-39.368309020996094,-40.62673568725586,-17.637714385986328,-14.196065902709961,-17.236343383789062,-44.904136657714844,-49.8268928527832,-41.21443176269531,-32.93452072143555,-33.857303619384766,-33.15852355957031
die chirurgen lachen,-38.270240783691406,-36.994972229003906,-35.540557861328125,-15.854156494140625,-16.42173194885254,-18.690378189086914,-45.966243743896484,-43.30448913574219,-45.63998794555664,-16.251773834228516,-16.4632625579834,-21.686325073242188,-44.26763153076172,-40.079368591308594,-40.27703857421875,-39.86759948730469,-39.15800476074219,-40.55080795288086
die chirurgen lacht,-39.740562438964844,-36.020912170410156,-35.978885650634766,-19.00173568725586,-22.56830596923828,-22.73137855529785,-44.88448715209961,-40.42333221435547,-47.045841217041016,-17.72303009033203,-22.86016845703125,-25.93000602722168,-51.84052658081055,-49.443965911865234,-49.962852478027344,-39.19271469116211,-40.98626708984375,-40.86253356933594
die senatoren sind alt,-35.49993896484375,-33.11967849731445,-39.43912887573242,-24.25893783569336,-25.61236572265625,-26.071056365966797,-40.84387969970703,-38.62314987182617,-39.97908401489258,-25.4797306060791,-26.50000762939453,-26.09339714050293,-45.337093353271484,-44.69279098510742,-43.739803314208984,-20.088592529296875,-18.829788208007812,-21.905925750732422
die senatoren ist alt,-39.98813247680664,-36.52647018432617,-41.37601852416992,-32.68363952636719,-30.96893882751465,-32.37164306640625,-50.20679473876953,-41.75526809692383,-45.640419006347656,-35.04832077026367,-31.41164779663086,-33.20509719848633,-47.94564437866211,-48.76896286010742,-47.566314697265625,-23.427560806274414,-23.196475982666016,-27.757232666015625
die senatoren sind jung,-35.71656036376953,-33.939117431640625,-40.046783447265625,-23.860610961914062,-27.017757415771484,-26.988805770874023,-41.87356185913086,-38.72794723510742,-41.47477340698242,-24.512523651123047,-28.030532836914062,-27.02284812927246,-44.31727981567383,-42.595916748046875,-45.13169479370117,-24.45871353149414,-21.422157287597656,-20.745681762695312
die senatoren ist jung,-40.21296310424805,-38.55662155151367,-42.15645217895508,-32.23603820800781,-32.181602478027344,-34.040122985839844,-50.48741149902344,-44.677162170410156,-44.731178283691406,-34.16511535644531,-32.51582717895508,-34.72455978393555,-47.58185577392578,-48.251285552978516,-48.456947326660156,-30.25792121887207,-26.362112045288086,-26.67173957824707
die senatoren sind klein,-35.36302185058594,-31.69121742248535,-39.59563064575195,-22.571979522705078,-23.868446350097656,-22.702051162719727,-42.731449127197266,-36.16928482055664,-41.46168899536133,-23.963397979736328,-24.746047973632812,-23.754945755004883,-43.95104217529297,-43.591064453125,-39.811614990234375,-18.339479446411133,-16.173099517822266,-18.05145263671875
die senatoren ist klein,-39.37168502807617,-36.72239303588867,-42.77337646484375,-30.357803344726562,-29.760787963867188,-30.065013885498047,-50.291107177734375,-42.47134780883789,-47.09001922607422,-33.00468826293945,-30.163467407226562,-31.650634765625,-47.545326232910156,-47.47545623779297,-44.996543884277344,-22.956012725830078,-20.829273223876953,-22.830547332763672
die senatoren sind groß,-34.093170166015625,-31.778566360473633,-38.997032165527344,-21.343734741210938,-21.84787940979004,-22.631240844726562,-40.15297317504883,-35.307579040527344,-41.91189956665039,-22.594512939453125,-22.214994430541992,-24.102140426635742,-43.29378128051758,-41.2545166015625,-41.537841796875,-18.634323120117188,-16.218841552734375,-19.05160140991211
die senatoren ist groß,-37.404476165771484,-35.454002380371094,-40.067691802978516,-29.089797973632812,-28.15147590637207,-29.15985679626465,-47.29825973510742,-39.95032501220703,-44.98743438720703,-31.604707717895508,-27.902877807617188,-30.733627319335938,-47.20762634277344,-45.845455169677734,-45.48679733276367,-23.69841766357422,-20.73581886291504,-22.552194595336914
die senatoren schwimmen,-35.1283073425293,-35.2384147644043,-40.397789001464844,-18.415908813476562,-19.422550201416016,-20.714794158935547,-39.56841278076172,-40.056724548339844,-41.872615814208984,-18.923460006713867,-19.970985412597656,-22.538883209228516,-48.53492736816406,-48.499855041503906,-52.531883239746094,-19.39262580871582,-19.364585876464844,-21.211069107055664
die senatoren schwimmt,-37.29273223876953,-39.34675598144531,-41.27671813964844,-21.76839256286621,-22.447254180908203,-23.384183883666992,-45.317039489746094,-42.96380615234375,-45.87626647949219,-23.08309555053711,-24.396297454833984,-25.399131774902344,-53.25929260253906,-51.08757019042969,-57.26605987548828,-23.788677215576172,-23.242591857910156,-24.666263580322266
die senatoren sprechen,-35.94363021850586,-31.746976852416992,-37.42000198364258,-19.05690574645996,-19.036865234375,-20.36090850830078,-41.750831604003906,-33.9811897277832,-36.38870620727539,-19.430416107177734,-19.228429794311523,-20.486572265625,-46.238426208496094,-43.51011657714844,-42.31370544433594,-20.704559326171875,-20.35898208618164,-19.55695152282715
die senatoren spricht,-37.638343811035156,-34.745121002197266,-37.717552185058594,-23.01402473449707,-21.280597686767578,-23.73723602294922,-44.39616394042969,-39.269039154052734,-40.69929122924805,-24.261531829833984,-22.38034439086914,-24.660886764526367,-50.91796875,-49.67934799194336,-46.59724807739258,-25.413555145263672,-21.880062103271484,-27.063491821289062
die senatoren lachen,-35.61866760253906,-34.987823486328125,-40.26897430419922,-22.87969207763672,-23.20656967163086,-22.209489822387695,-41.50005340576172,-38.977149963378906,-40.60687255859375,-23.914897918701172,-23.380722045898438,-23.726959228515625,-48.76319122314453,-46.71507263183594,-45.93011474609375,-23.80628776550293,-22.089725494384766,-26.22735023498535
die senatoren lacht,-39.73817443847656,-38.01266098022461,-42.38658905029297,-27.555505752563477,-27.494693756103516,-27.376235961914062,-46.674991607666016,-42.37959289550781,-43.98578643798828,-27.75887680053711,-27.454181671142578,-29.094329833984375,-60.46554946899414,-53.581180572509766,-54.69755935668945,-22.380783081054688,-26.511760711669922,-27.542388916015625
die lehrer sind alt,-19.684598922729492,-21.618261337280273,-20.04669189453125,-25.468299865722656,-29.492738723754883,-28.065458297729492,-20.823429107666016,-22.132028579711914,-20.988189697265625,-26.344989776611328,-30.50341033935547,-29.02075958251953,-16.526145935058594,-18.31515884399414,-19.08247947692871,-22.322593688964844,-22.05640983581543,-23.391658782958984
die lehrer ist alt,-21.617280960083008,-21.820560455322266,-18.726898193359375,-29.898622512817383,-31.43073081970215,-30.098613739013672,-25.185428619384766,-22.606609344482422,-20.894027709960938,-31.181493759155273,-32.13299560546875,-30.032791137695312,-19.3455810546875,-20.536365509033203,-23.601354598999023,-24.089569091796875,-23.824111938476562,-24.41419792175293
die lehrer sind jung,-21.404083251953125,-24.247032165527344,-22.202224731445312,-25.211788177490234,-28.611013412475586,-26.321699142456055,-19.492328643798828,-25.158321380615234,-22.55107879638672,-24.69161605834961,-29.741432189941406,-27.11408042907715,-17.49521255493164,-18.622425079345703,-21.70214080810547,-24.418384552001953,-23.837663650512695,-23.375940322875977
die lehrer ist jung,-23.60110855102539,-25.309112548828125,-22.358022689819336,-28.97735595703125,-30.377500534057617,-29.668989181518555,-23.78913688659668,-26.810897827148438,-25.252229690551758,-28.678897857666016,-30.625293731689453,-30.05239486694336,-21.04172134399414,-22.009668350219727,-25.65582275390625,-29.603796005249023,-26.298797607421875,-24.286422729492188
die lehrer sind klein,-20.14692497253418,-21.173418045043945,-19.483863830566406,-24.223819732666016,-27.457069396972656,-23.702383041381836,-21.908798217773438,-21.239347457885742,-19.042814254760742,-24.81755828857422,-28.119876861572266,-25.763553619384766,-17.653820037841797,-18.73981285095215,-17.52462387084961,-21.902557373046875,-23.65804100036621,-23.76643180847168
die lehrer ist klein,-22.24068832397461,-23.002134323120117,-20.540218353271484,-27.492551803588867,-30.191070556640625,-27.054092407226562,-25.299232482910156,-25.312110900878906,-23.028160095214844,-28.24660873413086,-30.694881439208984,-28.077922821044922,-20.7174015045166,-21.33829689025879,-24.967723846435547,-25.60348892211914,-25.358606338500977,-24.466632843017578
die lehrer sind groß,-19.553836822509766,-21.61103630065918,-19.980297088623047,-25.213163375854492,-27.67678451538086,-25.059307098388672,-21.176063537597656,-21.781465530395508,-19.906265258789062,-26.196399688720703,-27.968486785888672,-27.054183959960938,-18.575899124145508,-20.30608558654785,-21.081039428710938,-23.474061965942383,-22.17305564880371,-24.195388793945312
die lehrer ist groß,-21.124174118041992,-22.316652297973633,-19.100879669189453,-28.108736038208008,-30.573698043823242,-27.578229904174805,-24.065521240234375,-23.77893829345703,-20.668689727783203,-29.64563751220703,-30.639678955078125,-28.315902709960938,-22.00482749938965,-21.887727737426758,-25.589340209960938,-28.26799774169922,-24.2589111328125,-24.372278213500977
