sentence,de_childes_best_clm_42,de_childes_best_clm_30,de_childes_best_clm_13,de_wikipedia_best_clm_42,de_wikipedia_best_clm_30,de_wikipedia_best_clm_13,de_childes_convergence_clm_42,de_childes_convergence_clm_30,de_childes_convergence_clm_13,de_wikipedia_convergence_clm_42,de_wikipedia_convergence_clm_30,de_wikipedia_convergence_clm_13,de_childes_best_mlm_42,de_childes_best_mlm_30,de_childes_best_mlm_13,de_wikipedia_best_mlm_42,de_wikipedia_best_mlm_30,de_wikipedia_best_mlm_13
der schriftsteller schwimmt und ist alt,-37.24647521972656,-44.39387130737305,-42.337867736816406,-38.6484489440918,-42.661685943603516,-38.88603591918945,-45.54936218261719,-43.95759582519531,-40.61091995239258,-42.7445068359375,-43.0797004699707,-38.65106201171875,-46.796058654785156,-53.78174591064453,-51.570674896240234,-35.93342590332031,-37.679649353027344,-32.804473876953125
der schriftsteller schwimmt und sind alt,-42.7044792175293,-49.24842834472656,-46.88554382324219,-42.23419189453125,-46.598304748535156,-44.219356536865234,-49.06148147583008,-49.30907440185547,-44.91080093383789,-45.6331787109375,-46.21043395996094,-45.27592849731445,-47.53841018676758,-55.10359573364258,-51.94028854370117,-38.622962951660156,-40.61870193481445,-36.50042724609375
der schriftsteller schwimmt und ist jung,-39.832275390625,-46.6867561340332,-44.19674301147461,-37.3626823425293,-41.88255310058594,-38.71541976928711,-46.51696014404297,-47.191951751708984,-43.66526412963867,-40.17476272583008,-41.811767578125,-38.147003173828125,-45.223304748535156,-50.516944885253906,-49.166053771972656,-40.88741683959961,-39.25691223144531,-34.67133331298828
der schriftsteller schwimmt und sind jung,-43.71577835083008,-50.13270950317383,-47.614994049072266,-41.58898162841797,-45.89828872680664,-42.7600212097168,-49.384151458740234,-51.84993362426758,-46.1799430847168,-44.35664367675781,-45.46399688720703,-43.62748336791992,-46.53342056274414,-50.36347198486328,-50.79595947265625,-41.382301330566406,-40.815826416015625,-37.728641510009766
der direktor schwimmt und schwimmt,-36.792816162109375,-40.14610290527344,-36.78202438354492,-36.603790283203125,-37.778221130371094,-37.11588668823242,-36.6988525390625,-40.37286376953125,-35.325477600097656,-37.29050064086914,-38.892356872558594,-36.82224655151367,-47.66017532348633,-42.22158432006836,-48.037288665771484,-33.73248291015625,-37.409271240234375,-39.66321563720703
der direktor schwimmt und schwimmen,-39.23756408691406,-43.495330810546875,-40.958377838134766,-38.02599334716797,-37.96863555908203,-38.78683090209961,-38.28225326538086,-42.747657775878906,-39.36418151855469,-39.98417282104492,-38.86006546020508,-38.51912307739258,-49.51683807373047,-44.146812438964844,-50.569740295410156,-35.04303741455078,-37.207218170166016,-38.72745132446289
der direktor schwimmt und lacht,-36.94367218017578,-42.53966522216797,-40.193241119384766,-43.838016510009766,-43.989501953125,-44.376094818115234,-35.28902053833008,-41.61754608154297,-37.70534896850586,-44.891502380371094,-44.7905387878418,-43.54982376098633,-51.16388702392578,-44.53614807128906,-51.81073760986328,-40.136085510253906,-41.977848052978516,-44.136566162109375
der direktor schwimmt und lachen,-40.47246551513672,-46.33650588989258,-44.21491241455078,-43.03042984008789,-43.19316101074219,-43.71677017211914,-40.914886474609375,-44.34574890136719,-42.197540283203125,-44.30963897705078,-44.23421859741211,-42.92229080200195,-52.73516082763672,-48.10659408569336,-55.464237213134766,-41.06541061401367,-43.761688232421875,-47.059513092041016
der direktor schwimmt und spricht,-39.06900405883789,-45.73000717163086,-44.67961120605469,-34.551265716552734,-37.56696319580078,-35.13996505737305,-38.77374267578125,-45.691795349121094,-43.34329605102539,-35.587623596191406,-38.18394470214844,-34.75531768798828,-55.68177795410156,-50.044227600097656,-55.55047607421875,-32.793949127197266,-33.81000518798828,-34.1654167175293
der direktor schwimmt und sprechen,-42.87957763671875,-48.718570709228516,-47.43572998046875,-39.78749084472656,-41.462646484375,-37.82405090332031,-41.877986907958984,-50.52794647216797,-46.82221984863281,-40.16341781616211,-42.56683349609375,-38.136173248291016,-55.8658447265625,-53.57728576660156,-57.22547149658203,-40.015533447265625,-41.50794219970703,-42.81660079956055
der direktor schwimmt und ist klein,-44.73653793334961,-48.66542434692383,-45.881107330322266,-41.272274017333984,-42.92884063720703,-40.54523849487305,-46.74225616455078,-48.605064392089844,-44.67851257324219,-41.967411041259766,-43.98310089111328,-40.46767807006836,-57.27362060546875,-54.139583587646484,-63.053924560546875,-35.368019104003906,-35.133697509765625,-34.46675109863281
der direktor schwimmt und sind klein,-46.018558502197266,-51.26683807373047,-48.52212142944336,-46.81632614135742,-46.74834442138672,-45.573570251464844,-45.04426574707031,-51.60240173339844,-46.99766540527344,-47.81602478027344,-47.487945556640625,-47.17172622680664,-56.63315963745117,-54.92472839355469,-60.92008972167969,-38.549354553222656,-39.59300994873047,-37.675662994384766
der direktor schwimmt und ist groß,-43.35554885864258,-47.10038375854492,-45.77926254272461,-40.784141540527344,-42.760772705078125,-39.449588775634766,-45.28724670410156,-46.81622314453125,-43.13975524902344,-41.859153747558594,-43.38941955566406,-39.86653518676758,-55.042747497558594,-51.54201889038086,-62.8291015625,-36.630741119384766,-35.32283020019531,-34.12508773803711
der direktor schwimmt und sind groß,-45.9998664855957,-51.091007232666016,-50.24999237060547,-46.6992073059082,-46.844329833984375,-45.265262603759766,-45.966453552246094,-49.130577087402344,-47.01740264892578,-48.6554069519043,-47.67631912231445,-47.92548370361328,-54.654319763183594,-52.79928207397461,-64.2743148803711,-38.89117431640625,-39.73120880126953,-37.85327911376953
der direktor schwimmt und ist alt,-43.299522399902344,-47.75300979614258,-47.43723678588867,-42.20098876953125,-43.99259948730469,-41.24091720581055,-45.37481689453125,-46.55748748779297,-45.43646240234375,-43.75711441040039,-45.440589904785156,-40.63608932495117,-56.52808380126953,-55.37946319580078,-60.76807403564453,-37.763973236083984,-39.04058837890625,-36.47774124145508
der direktor schwimmt und sind alt,-47.23214340209961,-53.346588134765625,-52.03071975708008,-47.482330322265625,-48.82359313964844,-47.39463424682617,-46.84611511230469,-50.938507080078125,-50.28431701660156,-49.94057083129883,-49.95095443725586,-48.499324798583984,-56.94258499145508,-54.66766357421875,-60.81962203979492,-41.36091613769531,-43.89323425292969,-40.10112762451172
der direktor schwimmt und ist jung,-45.254940032958984,-48.97272491455078,-49.42549514770508,-42.45857620239258,-44.89012908935547,-42.04446792602539,-46.786231994628906,-47.721397399902344,-48.91071319580078,-43.441627502441406,-45.85416793823242,-41.0289192199707,-56.25167465209961,-53.154640197753906,-59.8037109375,-42.04051208496094,-40.61083984375,-39.82714080810547
der direktor schwimmt und sind jung,-47.8658561706543,-52.626312255859375,-53.02610397338867,-48.00394821166992,-49.90068817138672,-47.20548629760742,-45.904449462890625,-51.139671325683594,-51.97215270996094,-50.06992721557617,-50.6428108215332,-48.37089157104492,-56.96855163574219,-50.77418899536133,-60.25516891479492,-43.155765533447266,-44.08749771118164,-41.773597717285156
der bauer schwimmt und schwimmt,-22.532520294189453,-23.932090759277344,-24.051156997680664,-33.81744384765625,-40.99779510498047,-34.823707580566406,-19.968217849731445,-28.55179214477539,-24.59491729736328,-33.9102783203125,-39.634063720703125,-34.66554641723633,-16.740175247192383,-17.362899780273438,-12.460049629211426,-33.67597579956055,-36.93909454345703,-38.87141418457031
der bauer schwimmt und schwimmen,-26.17789077758789,-28.1531982421875,-29.14432144165039,-34.90034866333008,-40.60491943359375,-36.35955047607422,-24.325157165527344,-32.78239822387695,-31.943958282470703,-37.1082763671875,-40.514732360839844,-36.13915252685547,-19.93197250366211,-20.38414764404297,-16.453580856323242,-34.46669387817383,-35.36701965332031,-36.808231353759766
der bauer schwimmt und lacht,-25.416221618652344,-25.87592887878418,-26.19380760192871,-39.82664108276367,-43.88990020751953,-41.04487228393555,-22.92103385925293,-30.225366592407227,-25.342586517333984,-40.82490921020508,-41.9095458984375,-41.289756774902344,-25.57891273498535,-24.262252807617188,-22.27907943725586,-40.92454528808594,-39.948211669921875,-42.15209197998047
der bauer schwimmt und lachen,-28.489582061767578,-30.984819412231445,-31.01771354675293,-38.96189880371094,-43.976905822753906,-39.58235549926758,-27.945220947265625,-35.08943176269531,-31.458995819091797,-39.603694915771484,-42.573822021484375,-38.857154846191406,-27.438194274902344,-28.257177352905273,-25.126955032348633,-41.66468811035156,-41.145423889160156,-44.77232360839844
der bauer schwimmt und spricht,-26.803123474121094,-30.185813903808594,-30.409210205078125,-34.03575897216797,-40.084266662597656,-34.40192413330078,-23.79519271850586,-33.53092575073242,-30.827102661132812,-35.34754180908203,-39.08497619628906,-34.27694320678711,-33.66944885253906,-31.6802978515625,-26.36219024658203,-32.317718505859375,-32.91547393798828,-33.610877990722656
der bauer schwimmt und sprechen,-32.49468994140625,-33.543067932128906,-33.41301727294922,-38.79991912841797,-43.809356689453125,-38.24958419799805,-31.343597412109375,-38.73224639892578,-36.317848205566406,-39.68388748168945,-42.65412139892578,-38.43281555175781,-33.60400390625,-33.28908920288086,-28.240501403808594,-38.34748077392578,-37.03353500366211,-39.610713958740234
der bauer schwimmt und ist klein,-31.896387100219727,-32.04546356201172,-31.79859733581543,-38.95475387573242,-44.48597717285156,-38.21183395385742,-32.68547439575195,-35.65550994873047,-32.982688903808594,-39.76775360107422,-43.735939025878906,-37.744842529296875,-29.875831604003906,-31.805419921875,-31.86913299560547,-33.67121887207031,-33.87104797363281,-33.034751892089844
der bauer schwimmt und sind klein,-33.60041046142578,-33.98366165161133,-34.159156799316406,-43.776573181152344,-46.58451843261719,-43.01728820800781,-31.386032104492188,-38.09653854370117,-34.964046478271484,-44.6776237487793,-45.57819366455078,-43.063987731933594,-29.617938995361328,-31.85596466064453,-29.164718627929688,-36.618568420410156,-37.50935363769531,-35.8474006652832
der bauer schwimmt und ist groß,-30.415454864501953,-29.557693481445312,-31.321434020996094,-37.83107376098633,-44.00061798095703,-37.73625183105469,-31.95488929748535,-33.620872497558594,-32.26943588256836,-38.928279876708984,-42.75361633300781,-37.15050506591797,-27.926908493041992,-30.028656005859375,-29.225234985351562,-35.236473083496094,-34.601539611816406,-32.77256393432617
der bauer schwimmt und sind groß,-33.5517578125,-33.035831451416016,-35.93888473510742,-42.86628341674805,-46.091522216796875,-43.69131851196289,-32.37682342529297,-36.102569580078125,-36.25242614746094,-44.38349914550781,-45.22948455810547,-43.65317916870117,-27.974449157714844,-30.846391677856445,-30.134815216064453,-37.40343475341797,-38.31621551513672,-35.93511962890625
der bauer schwimmt und ist alt,-31.26027488708496,-32.11823654174805,-33.19765090942383,-39.058963775634766,-45.283409118652344,-39.97367858886719,-31.053544998168945,-35.83826446533203,-34.64772033691406,-40.25148391723633,-44.60725402832031,-38.596343994140625,-34.26372528076172,-34.87197494506836,-32.7840461730957,-35.26577377319336,-36.154685974121094,-33.42247772216797
der bauer schwimmt und sind alt,-35.37923049926758,-36.755401611328125,-38.06188201904297,-44.025875091552734,-48.557373046875,-45.68562316894531,-33.55717468261719,-40.103660583496094,-40.58467102050781,-45.899696350097656,-47.71575927734375,-45.18415451049805,-33.855003356933594,-33.54466247558594,-31.65335464477539,-39.070438385009766,-40.19205093383789,-36.685035705566406
der bauer schwimmt und ist jung,-33.37213134765625,-33.1796760559082,-35.36166000366211,-39.342063903808594,-46.45796203613281,-39.34234619140625,-33.777366638183594,-36.823158264160156,-37.89995574951172,-40.230255126953125,-45.969398498535156,-38.3885612487793,-33.12975311279297,-32.81864929199219,-32.86627960205078,-39.00742721557617,-37.80260467529297,-35.93873596191406
der bauer schwimmt und sind jung,-36.19085693359375,-36.59697723388672,-38.51323318481445,-44.01848602294922,-48.899208068847656,-44.275856018066406,-33.785770416259766,-41.22989273071289,-39.63170623779297,-45.418636322021484,-48.250877380371094,-44.52993392944336,-32.61284637451172,-30.219606399536133,-32.76240921020508,-40.114341735839844,-40.67639923095703,-37.673248291015625
der chirurg schwimmt und schwimmt,-41.59951400756836,-41.417022705078125,-41.017887115478516,-34.57448959350586,-34.18962860107422,-36.943119049072266,-44.2273063659668,-53.64922332763672,-47.31304931640625,-33.39632034301758,-33.88444519042969,-37.99739074707031,-35.52500915527344,-35.74250030517578,-37.16618347167969,-40.024478912353516,-37.950172424316406,-45.380619049072266
der chirurg schwimmt und schwimmen,-44.150428771972656,-45.23046875,-45.82514572143555,-36.507049560546875,-35.267642974853516,-37.64916229248047,-48.01694869995117,-56.2027587890625,-52.976139068603516,-37.71479797363281,-35.558143615722656,-38.56912612915039,-36.93320083618164,-37.73405456542969,-39.561500549316406,-40.83438491821289,-37.269447326660156,-43.66632843017578
der chirurg schwimmt und lacht,-43.16208267211914,-42.926605224609375,-42.06233215332031,-41.56041717529297,-42.009300231933594,-45.378028869628906,-47.53953552246094,-53.39917755126953,-47.871986389160156,-42.78508758544922,-41.06226348876953,-45.63312530517578,-46.33819580078125,-41.15058135986328,-43.527488708496094,-44.645023345947266,-43.31150817871094,-46.95719528198242
der chirurg schwimmt und lachen,-45.470088958740234,-47.169795989990234,-47.78081130981445,-40.94342803955078,-39.644779205322266,-42.456581115722656,-49.64012908935547,-57.25139617919922,-55.01228332519531,-42.687686920166016,-38.47713088989258,-43.47588348388672,-44.7601203918457,-44.40589904785156,-45.42156219482422,-45.27626419067383,-44.07630157470703,-50.762760162353516
der chirurg schwimmt und spricht,-43.78704833984375,-46.3805046081543,-46.42414474487305,-33.522865295410156,-33.51466369628906,-34.50108337402344,-44.83007049560547,-58.702186584472656,-55.753353118896484,-33.97683334350586,-33.49031066894531,-35.07400894165039,-53.227073669433594,-48.32461929321289,-47.15568542480469,-35.03313446044922,-32.8097038269043,-36.16063690185547
der chirurg schwimmt und sprechen,-48.282649993896484,-50.028099060058594,-49.35136795043945,-38.33338165283203,-38.25078582763672,-38.73812484741211,-51.636207580566406,-62.927940368652344,-58.77418518066406,-38.24500274658203,-38.34983825683594,-40.373897552490234,-50.460044860839844,-48.967132568359375,-49.97300338745117,-40.16320037841797,-36.43518829345703,-41.578224182128906
der chirurg schwimmt und ist klein,-51.53169250488281,-49.3102912902832,-47.38487243652344,-38.5533332824707,-39.818912506103516,-39.74427795410156,-57.34771728515625,-60.46051788330078,-55.83811950683594,-38.78118896484375,-40.12653732299805,-40.10478591918945,-50.20001983642578,-51.414546966552734,-54.28357696533203,-39.63362121582031,-35.34571075439453,-37.24314880371094
der chirurg schwimmt und sind klein,-51.41674041748047,-51.01814651489258,-49.421104431152344,-44.80466842651367,-42.610923767089844,-44.413692474365234,-54.19478225708008,-61.078651428222656,-57.65636444091797,-45.233375549316406,-43.19582748413086,-46.20178985595703,-48.55044174194336,-51.274009704589844,-51.7111701965332,-43.56012725830078,-38.84877014160156,-41.71271896362305
der chirurg schwimmt und ist groß,-51.372276306152344,-48.08202362060547,-47.823631286621094,-37.34098434448242,-39.02136993408203,-38.84941864013672,-57.17208480834961,-60.831642150878906,-57.086849212646484,-37.769012451171875,-38.739688873291016,-38.90771484375,-49.398681640625,-50.94009780883789,-53.96898651123047,-40.84041976928711,-35.006568908691406,-36.81991195678711
der chirurg schwimmt und sind groß,-52.52655029296875,-51.21431350708008,-52.09352111816406,-43.5059700012207,-41.50086975097656,-44.770565032958984,-56.5709114074707,-61.664207458496094,-61.258785247802734,-44.79586410522461,-42.02381896972656,-46.804931640625,-47.82582092285156,-50.89661407470703,-54.61804962158203,-44.001121520996094,-38.49787902832031,-41.591060638427734
der chirurg schwimmt und ist alt,-49.12150573730469,-48.62644577026367,-48.714752197265625,-39.70380401611328,-40.88595962524414,-41.409297943115234,-53.80107116699219,-59.964271545410156,-59.50131607055664,-40.741512298583984,-41.53791809082031,-40.58844757080078,-52.82441711425781,-53.582115173339844,-53.17037582397461,-38.55928039550781,-36.40229034423828,-36.396156311035156
der chirurg schwimmt und sind alt,-52.95536804199219,-53.668949127197266,-53.71516418457031,-45.88779830932617,-44.727718353271484,-47.75483703613281,-57.09615707397461,-64.32725524902344,-65.07363891601562,-47.76882553100586,-45.65070724487305,-48.46332550048828,-52.07268524169922,-52.506309509277344,-52.707984924316406,-43.265506744384766,-40.62523651123047,-41.72926712036133
der chirurg schwimmt und ist jung,-50.84571838378906,-48.951290130615234,-50.092376708984375,-39.28538131713867,-41.444454193115234,-41.36884307861328,-54.85075378417969,-58.909996032714844,-59.5450325012207,-39.68210220336914,-41.885982513427734,-41.027374267578125,-52.39401626586914,-51.43994140625,-52.887718200683594,-44.90631103515625,-38.066871643066406,-40.647010803222656
der chirurg schwimmt und sind jung,-52.433555603027344,-52.06796646118164,-53.32890319824219,-44.950260162353516,-45.31919860839844,-46.2601318359375,-54.58134841918945,-60.81220245361328,-61.317832946777344,-46.519126892089844,-46.76723861694336,-47.76762390136719,-51.23603057861328,-48.651329040527344,-53.14484786987305,-47.1024284362793,-40.858089447021484,-44.009742736816406
der senator schwimmt und schwimmt,-43.14570617675781,-45.936519622802734,-44.47046661376953,-34.75265884399414,-36.99272155761719,-37.28489685058594,-49.36930465698242,-51.23182678222656,-51.56972122192383,-34.11569595336914,-38.20488739013672,-40.38951873779297,-47.42123794555664,-44.66016387939453,-49.57090759277344,-34.16495132446289,-35.23057174682617,-36.73792266845703
der senator schwimmt und schwimmen,-46.13779830932617,-48.8629035949707,-48.05786895751953,-36.839054107666016,-37.021080017089844,-39.33469772338867,-52.67387771606445,-54.87779998779297,-56.125038146972656,-38.03909683227539,-38.163352966308594,-42.819793701171875,-49.20192337036133,-46.862030029296875,-51.87686538696289,-35.244564056396484,-34.840824127197266,-34.95027160644531
der senator schwimmt und lacht,-46.25534439086914,-47.270484924316406,-47.913848876953125,-42.55224609375,-42.91728591918945,-45.786231994628906,-52.224910736083984,-53.600341796875,-52.333984375,-42.58354568481445,-43.440162658691406,-48.293968200683594,-56.71068572998047,-48.91768264770508,-48.554046630859375,-40.450965881347656,-40.806026458740234,-41.08058166503906
der senator schwimmt und lachen,-48.77101135253906,-50.432376861572266,-51.11940002441406,-42.44791793823242,-42.24235916137695,-44.805782318115234,-57.28346633911133,-56.332740783691406,-60.24751281738281,-42.359554290771484,-43.059608459472656,-47.35926818847656,-53.295631408691406,-49.68827819824219,-51.589569091796875,-41.30921936035156,-41.605010986328125,-42.92536163330078
der senator schwimmt und spricht,-47.448219299316406,-50.88199996948242,-51.34642028808594,-33.56611633300781,-36.18684768676758,-36.00927734375,-53.77480697631836,-56.72205352783203,-60.02347183227539,-33.840049743652344,-36.72449493408203,-38.93360900878906,-57.94078826904297,-50.712039947509766,-51.523860931396484,-33.7550048828125,-32.93233871459961,-30.589794158935547
der senator schwimmt und sprechen,-50.778228759765625,-53.319583892822266,-54.27526092529297,-38.70817947387695,-40.24529266357422,-39.90202331542969,-58.48664474487305,-60.48155975341797,-61.98579788208008,-37.39014434814453,-40.89542770385742,-42.53699493408203,-56.895164489746094,-53.18788146972656,-53.583003997802734,-39.8306770324707,-39.14699172973633,-38.847137451171875
der senator schwimmt und ist klein,-50.18366241455078,-52.67240524291992,-52.04973602294922,-39.88413619995117,-41.74433135986328,-40.625553131103516,-56.76313781738281,-58.69226837158203,-61.13384246826172,-39.73765182495117,-42.85368347167969,-43.60243225097656,-57.11106872558594,-54.51426696777344,-58.305702209472656,-34.65170669555664,-33.02458953857422,-31.197813034057617
der senator schwimmt und sind klein,-51.996734619140625,-53.88359832763672,-54.28620910644531,-45.57602310180664,-45.56605911254883,-45.36773681640625,-57.05570983886719,-61.56227111816406,-62.536521911621094,-44.61690139770508,-46.3878173828125,-49.188323974609375,-57.54247283935547,-55.44227981567383,-55.70701217651367,-37.958946228027344,-36.41548156738281,-33.631256103515625
der senator schwimmt und ist groß,-50.075965881347656,-51.070655822753906,-51.712886810302734,-39.16381072998047,-41.3741569519043,-40.06820297241211,-58.212547302246094,-57.32843780517578,-59.380653381347656,-39.159454345703125,-41.90223693847656,-43.06272888183594,-55.47649383544922,-51.479061126708984,-56.83736801147461,-36.17081069946289,-33.796058654785156,-30.905330657958984
der senator schwimmt und sind groß,-52.39093780517578,-53.628257751464844,-55.4669303894043,-44.67654800415039,-45.33469009399414,-46.15303421020508,-59.20874786376953,-59.818359375,-62.93372344970703,-43.76529312133789,-45.93073272705078,-50.454383850097656,-55.831642150878906,-52.59265899658203,-57.625457763671875,-38.63688659667969,-37.00788116455078,-33.75896072387695
der senator schwimmt und ist alt,-49.27162170410156,-53.25369644165039,-53.83137130737305,-41.52021026611328,-42.95351028442383,-42.87279510498047,-57.67597961425781,-58.699951171875,-61.67144012451172,-41.57078552246094,-43.991310119628906,-45.10620880126953,-60.22993087768555,-57.12718963623047,-57.71832275390625,-36.97652816772461,-36.997901916503906,-34.04057312011719
der senator schwimmt und sind alt,-53.09706115722656,-56.790077209472656,-57.91242599487305,-46.65358352661133,-47.655357360839844,-48.98933410644531,-59.708702087402344,-63.482391357421875,-63.792274475097656,-46.235416412353516,-48.39537048339844,-52.227439880371094,-61.16684341430664,-56.492034912109375,-57.061866760253906,-40.698055267333984,-40.72846221923828,-36.99110412597656
der senator schwimmt und ist jung,-51.65345764160156,-54.39445877075195,-55.46323776245117,-40.84760665893555,-43.784488677978516,-43.26939010620117,-58.10053253173828,-59.88776397705078,-65.29082489013672,-40.73590850830078,-44.77172088623047,-45.297080993652344,-56.93954086303711,-53.353057861328125,-55.709754943847656,-41.95901870727539,-39.02608871459961,-36.24562072753906
der senator schwimmt und sind jung,-54.09002685546875,-56.61460494995117,-57.91213607788086,-46.39467239379883,-48.379798889160156,-48.66474151611328,-58.78367614746094,-62.55323791503906,-64.94515228271484,-46.15481948852539,-49.40876770019531,-52.18815612792969,-58.07133102416992,-51.44582748413086,-55.794151306152344,-43.30543899536133,-41.28565979003906,-37.34242630004883
der lehrer schwimmt und schwimmt,-31.987064361572266,-28.503772735595703,-27.61673355102539,-37.36774444580078,-38.628135681152344,-38.95405578613281,-34.30706024169922,-32.805545806884766,-28.0601749420166,-39.61985778808594,-38.62407684326172,-39.597198486328125,-22.918054580688477,-29.108318328857422,-23.39401626586914,-37.769248962402344,-41.92281723022461,-42.36978530883789
der lehrer schwimmt und schwimmen,-33.60554885864258,-31.570045471191406,-31.11480140686035,-37.615570068359375,-39.81659698486328,-39.391666412353516,-35.51851272583008,-35.486568450927734,-33.64287567138672,-41.224327087402344,-39.326786041259766,-40.31114196777344,-25.224960327148438,-31.705867767333984,-27.15716552734375,-38.699546813964844,-41.065406799316406,-39.336021423339844
der lehrer schwimmt und lacht,-31.767284393310547,-29.261266708374023,-28.982219696044922,-43.9307861328125,-45.67955017089844,-45.627994537353516,-32.29610061645508,-33.02512741088867,-27.3841495513916,-46.737449645996094,-43.97809600830078,-46.3131103515625,-31.652061462402344,-33.12388610839844,-28.169504165649414,-41.67911148071289,-45.4909782409668,-43.49585723876953
der lehrer schwimmt und lachen,-35.00115966796875,-32.558692932128906,-32.91241455078125,-43.13502883911133,-42.94306182861328,-42.1495246887207,-36.874061584472656,-36.045623779296875,-34.279380798339844,-45.68952178955078,-42.210838317871094,-44.500885009765625,-29.997713088989258,-35.72245788574219,-32.0333366394043,-43.38542175292969,-45.448299407958984,-46.638153076171875
der lehrer schwimmt und spricht,-32.85445022583008,-31.59708595275879,-31.58305549621582,-34.62432098388672,-37.20182800292969,-36.313072204589844,-33.24195861816406,-36.6153678894043,-32.05847930908203,-36.69477462768555,-37.25796127319336,-36.79698181152344,-32.059940338134766,-35.867698669433594,-30.223011016845703,-33.647056579589844,-36.72166442871094,-32.116432189941406
der lehrer schwimmt und sprechen,-36.40807342529297,-34.55596923828125,-35.00189208984375,-38.51409912109375,-40.964439392089844,-38.61127853393555,-38.586334228515625,-42.21586227416992,-37.74687194824219,-39.97156524658203,-40.924049377441406,-39.18865203857422,-29.615949630737305,-36.20170211791992,-31.952007293701172,-36.927799224853516,-38.157997131347656,-34.2944221496582
