sentence,fr_childes_best_clm_42,fr_childes_best_clm_30,fr_childes_best_clm_13,fr_wikipedia_best_clm_42,fr_wikipedia_best_clm_30,fr_wikipedia_best_clm_13,fr_childes_convergence_clm_42,fr_childes_convergence_clm_30,fr_childes_convergence_clm_13,fr_wikipedia_convergence_clm_42,fr_wikipedia_convergence_clm_30,fr_wikipedia_convergence_clm_13,fr_wikipedia_best_mlm_42,fr_wikipedia_best_mlm_30,fr_wikipedia_best_mlm_13,fr_childes_best_mlm_42,fr_childes_best_mlm_30,fr_childes_best_mlm_13
les auteurs parlent,-25.976383209228516,-33.654388427734375,-30.186256408691406,-12.829069137573242,-11.727752685546875,-13.144551277160645,-33.546241760253906,-51.61530303955078,-32.17703628540039,-13.106313705444336,-12.620930671691895,-13.22221565246582,-16.37872314453125,-18.383655548095703,-15.515453338623047,-34.12240982055664,-35.30710983276367,-36.30810546875
les auteurs parle,-27.88768768310547,-36.63197326660156,-33.68251419067383,-14.093353271484375,-13.53568172454834,-16.966598510742188,-35.487823486328125,-53.17990493774414,-42.02489471435547,-16.770015716552734,-17.357437133789062,-19.91895866394043,-13.08470344543457,-12.441143035888672,-11.49315071105957,-40.28538513183594,-42.388763427734375,-40.21416091918945
les auteurs retournent,-29.080074310302734,-35.559967041015625,-31.21967315673828,-17.421159744262695,-15.144502639770508,-15.732559204101562,-38.95823669433594,-50.70679473876953,-35.7467041015625,-16.89623260498047,-16.15053939819336,-16.3267822265625,-19.77044105529785,-19.01776885986328,-17.76266098022461,-37.16572952270508,-35.52394104003906,-38.09892272949219
les auteurs retourne,-29.591318130493164,-35.4029541015625,-31.50039291381836,-21.587528228759766,-19.49594497680664,-22.69399070739746,-42.325050354003906,-52.500614166259766,-34.658912658691406,-25.522998809814453,-21.825496673583984,-27.96875,-21.30022621154785,-21.096107482910156,-23.12653160095215,-38.505252838134766,-36.95747756958008,-32.54570007324219
les directeurs sont vieux,-28.32115364074707,-30.85759925842285,-28.508169174194336,-25.21962547302246,-25.72592544555664,-26.063243865966797,-37.238868713378906,-44.46546173095703,-42.470340728759766,-30.850543975830078,-27.46886444091797,-30.4666748046875,-24.888595581054688,-22.912437438964844,-23.443500518798828,-40.27244567871094,-34.560272216796875,-31.560697555541992
les directeurs est vieux,-31.326433181762695,-31.723342895507812,-32.3118896484375,-31.799036026000977,-30.701595306396484,-31.75560760498047,-37.263587951660156,-43.061458587646484,-47.506317138671875,-36.727684020996094,-32.724029541015625,-35.40380859375,-32.236305236816406,-28.743927001953125,-29.65323257446289,-44.26201248168945,-38.651676177978516,-32.11104202270508
les directeurs sont jeunes,-31.97573471069336,-36.1324577331543,-34.726810455322266,-22.567642211914062,-24.336641311645508,-25.106054306030273,-43.0966796875,-55.110931396484375,-47.51564407348633,-24.867631912231445,-26.02229118347168,-27.774070739746094,-23.854228973388672,-22.29281997680664,-24.090822219848633,-49.95549774169922,-42.32769775390625,-41.07904052734375
les directeurs est jeune,-32.04249572753906,-32.394134521484375,-34.44590759277344,-30.9213924407959,-30.17209243774414,-32.41008377075195,-38.162757873535156,-47.157466888427734,-50.01184844970703,-34.891998291015625,-30.09744644165039,-34.5308837890625,-28.668689727783203,-25.491918563842773,-27.817670822143555,-46.224788665771484,-42.88589096069336,-36.1378059387207
les directeurs sont petits,-24.997867584228516,-30.088605880737305,-26.976152420043945,-22.402076721191406,-24.925573348999023,-24.39169692993164,-33.09801483154297,-46.32779312133789,-43.63117980957031,-25.3845157623291,-22.987491607666016,-25.754423141479492,-22.36771583557129,-22.001659393310547,-21.5144100189209,-42.457462310791016,-36.999237060546875,-30.201261520385742
les directeurs est petit,-29.584497451782227,-32.20930480957031,-31.5854434967041,-29.430862426757812,-27.552276611328125,-29.109600067138672,-33.811668395996094,-45.62534713745117,-42.7760124206543,-32.059959411621094,-27.503890991210938,-29.115768432617188,-29.402421951293945,-25.853946685791016,-24.662429809570312,-45.48011779785156,-40.8814811706543,-32.105831146240234
les directeurs sont grands,-24.84413719177246,-29.096923828125,-26.00141143798828,-21.347148895263672,-22.782405853271484,-23.14098358154297,-35.02309799194336,-40.97844696044922,-40.44209289550781,-22.944717407226562,-22.684829711914062,-24.910953521728516,-21.04122543334961,-18.242568969726562,-18.450401306152344,-39.84142303466797,-33.39007568359375,-29.64820098876953
les directeurs est grand,-29.428627014160156,-31.764596939086914,-32.23558807373047,-30.13665771484375,-28.177228927612305,-28.481231689453125,-37.828975677490234,-47.04060745239258,-46.38186264038086,-35.28239059448242,-30.92816925048828,-32.00352478027344,-27.566303253173828,-23.133298873901367,-25.032245635986328,-41.77156448364258,-39.92015075683594,-33.13817596435547
les directeurs déménagent,-28.162126541137695,-34.08552551269531,-32.30787658691406,-54.83955001831055,-62.612789154052734,-57.299720764160156,-33.38067626953125,-46.319766998291016,-40.40142059326172,-50.78398895263672,-79.7730941772461,-76.56771087646484,-75.914306640625,-80.25360107421875,-77.83494567871094,-40.14286804199219,-35.00124740600586,-38.185569763183594
les directeurs déménage,-27.380308151245117,-34.09370803833008,-29.791189193725586,-55.729801177978516,-60.58546447753906,-60.539268493652344,-40.24867630004883,-50.73363494873047,-46.41027069091797,-57.11683654785156,-74.85994720458984,-75.44937896728516,-77.97299194335938,-76.59117889404297,-75.07563781738281,-36.699493408203125,-33.02695083618164,-32.599300384521484
les directeurs parlent,-21.23834991455078,-26.782997131347656,-27.198436737060547,-17.296161651611328,-18.79119300842285,-19.038978576660156,-27.29964828491211,-39.13229751586914,-34.37252426147461,-19.6373348236084,-23.37259292602539,-22.815927505493164,-19.212778091430664,-19.38379669189453,-18.093765258789062,-33.93907165527344,-29.821044921875,-32.545833587646484
les directeurs parle,-22.891145706176758,-29.604900360107422,-30.493148803710938,-22.490880966186523,-23.78268814086914,-22.9649715423584,-29.669343948364258,-39.5158576965332,-46.00871276855469,-26.480464935302734,-28.98984718322754,-28.40152931213379,-19.98862075805664,-21.9865779876709,-21.60788917541504,-38.21625518798828,-36.08513641357422,-30.581531524658203
les directeurs retournent,-24.55244255065918,-29.991493225097656,-28.235525131225586,-21.218637466430664,-19.61797332763672,-20.998973846435547,-35.4024543762207,-43.85568618774414,-39.47629165649414,-24.788114547729492,-21.982620239257812,-21.490184783935547,-19.873435974121094,-22.25130844116211,-20.12055015563965,-34.94133377075195,-30.19708251953125,-30.198022842407227
les directeurs retourne,-25.2158260345459,-29.698657989501953,-29.046865463256836,-29.992794036865234,-25.80127716064453,-28.531169891357422,-34.40863800048828,-43.288631439208984,-38.62995147705078,-37.512184143066406,-30.306774139404297,-32.869407653808594,-24.200828552246094,-23.00390625,-23.55721664428711,-35.068939208984375,-35.35860061645508,-30.622262954711914
les agriculteurs sont vieux,-29.786678314208984,-27.18025779724121,-34.84288787841797,-16.708452224731445,-15.947277069091797,-16.446741104125977,-36.02159118652344,-25.73455047607422,-40.0389289855957,-17.672378540039062,-17.352346420288086,-17.711036682128906,-24.148441314697266,-23.391551971435547,-23.150938034057617,-61.482017517089844,-50.61387252807617,-54.49958801269531
les agriculteurs est vieux,-32.02809143066406,-27.368972778320312,-35.51845169067383,-21.852699279785156,-23.552173614501953,-24.082942962646484,-41.6512451171875,-29.233375549316406,-40.68587112426758,-22.99955940246582,-26.379959106445312,-24.849651336669922,-30.875558853149414,-28.990478515625,-28.557498931884766,-68.19270324707031,-57.25883483886719,-56.88190460205078
les agriculteurs sont jeunes,-34.07762908935547,-31.988262176513672,-39.18544387817383,-14.713920593261719,-16.42681121826172,-15.617069244384766,-36.6453857421875,-32.687843322753906,-52.474647521972656,-11.145550727844238,-15.77688980102539,-15.796805381774902,-22.999753952026367,-22.87056541442871,-23.632389068603516,-68.5128402709961,-61.31928634643555,-65.16130828857422
les agriculteurs est jeune,-33.058326721191406,-27.961360931396484,-38.38282012939453,-20.661151885986328,-23.728649139404297,-24.261417388916016,-40.58976745605469,-32.37559127807617,-46.699195861816406,-20.72687530517578,-25.588478088378906,-24.50786590576172,-26.90775489807129,-27.904739379882812,-28.15763282775879,-68.13070678710938,-57.16315460205078,-64.15525817871094
les agriculteurs sont petits,-28.956954956054688,-26.1650447845459,-32.810977935791016,-13.92402458190918,-15.5743408203125,-14.089284896850586,-31.66754913330078,-29.323654174804688,-38.2965202331543,-13.874743461608887,-13.688953399658203,-14.335573196411133,-19.944828033447266,-21.15134620666504,-20.417451858520508,-60.06692886352539,-51.882484436035156,-51.32835388183594
les agriculteurs est petit,-30.916675567626953,-29.167516708374023,-35.170562744140625,-20.0989990234375,-21.611034393310547,-21.224876403808594,-34.14292526245117,-33.2447395324707,-42.73880386352539,-19.353252410888672,-23.46512222290039,-19.76754379272461,-26.802600860595703,-26.662649154663086,-23.746747970581055,-64.7440185546875,-59.368343353271484,-57.593589782714844
les agriculteurs sont grands,-28.105953216552734,-25.629880905151367,-33.01219177246094,-13.030324935913086,-13.512293815612793,-13.074455261230469,-30.407779693603516,-23.73474884033203,-40.2377815246582,-11.212494850158691,-12.078855514526367,-13.09868335723877,-20.01139259338379,-18.9791259765625,-17.93001365661621,-58.63568878173828,-49.90021896362305,-50.32302474975586
les agriculteurs est grand,-30.984806060791016,-28.454551696777344,-36.18067169189453,-20.656108856201172,-22.989456176757812,-21.457386016845703,-38.783355712890625,-31.318580627441406,-43.85752868652344,-20.4739990234375,-25.834503173828125,-23.173702239990234,-26.077394485473633,-25.041671752929688,-24.839481353759766,-64.38973236083984,-58.74318313598633,-58.06511688232422
les agriculteurs déménagent,-36.02830505371094,-32.539310455322266,-38.015316009521484,-48.35584259033203,-59.56418228149414,-49.23381042480469,-44.11671447753906,-36.62269973754883,-46.94965362548828,-39.303985595703125,-75.6600341796875,-66.17215728759766,-74.93260192871094,-83.11990356445312,-77.23033142089844,-64.62823486328125,-57.157474517822266,-65.34261322021484
les agriculteurs déménage,-31.738311767578125,-30.163877487182617,-35.372894287109375,-48.133785247802734,-58.0522346496582,-52.93235778808594,-41.81098175048828,-34.32996368408203,-47.69407653808594,-44.08728790283203,-73.04304504394531,-66.3565673828125,-77.41521453857422,-78.90351867675781,-74.8802490234375,-59.92606735229492,-55.76215744018555,-56.10011672973633
les agriculteurs parlent,-27.374513626098633,-25.035123825073242,-33.539154052734375,-9.52076530456543,-8.933899879455566,-9.939576148986816,-31.180816650390625,-27.475879669189453,-42.70069885253906,-8.194753646850586,-10.877840042114258,-10.960054397583008,-18.858848571777344,-18.760255813598633,-18.362987518310547,-52.248626708984375,-48.793243408203125,-57.408241271972656
les agriculteurs parle,-28.435291290283203,-26.097761154174805,-33.3298225402832,-14.526418685913086,-18.4113712310791,-16.634361267089844,-34.85441207885742,-26.951202392578125,-41.037940979003906,-17.86009979248047,-21.286396026611328,-18.02561378479004,-19.12285041809082,-23.74065399169922,-23.298473358154297,-51.86809539794922,-47.9057731628418,-53.92046356201172
les agriculteurs retournent,-32.21940231323242,-33.40953063964844,-34.26383590698242,-12.958148002624512,-10.892786026000977,-12.099931716918945,-41.62377166748047,-31.565460205078125,-44.53564453125,-13.526873588562012,-11.547821044921875,-12.788890838623047,-20.529830932617188,-22.723356246948242,-19.774076461791992,-59.65730285644531,-58.36125183105469,-59.676029205322266
les agriculteurs retourne,-30.374286651611328,-26.809236526489258,-33.667510986328125,-20.58030891418457,-18.63165855407715,-20.15213394165039,-39.01614761352539,-28.361175537109375,-44.935218811035156,-23.57695960998535,-22.86910629272461,-23.930864334106445,-23.062416076660156,-25.0793399810791,-24.830184936523438,-58.782501220703125,-53.1854133605957,-58.290809631347656
les chirurgiens sont vieux,-34.83793640136719,-28.344532012939453,-29.35234260559082,-20.7208194732666,-18.10506820678711,-20.27444076538086,-22.613252639770508,-29.41216278076172,-29.571496963500977,-20.350439071655273,-16.934001922607422,-19.080530166625977,-25.16180992126465,-26.094982147216797,-23.17123031616211,-46.78266906738281,-38.5628776550293,-44.82854080200195
les chirurgiens est vieux,-39.1420783996582,-34.4703369140625,-30.178857803344727,-24.970848083496094,-23.212787628173828,-27.0057430267334,-32.82586669921875,-31.943130493164062,-26.668214797973633,-23.177839279174805,-21.35735321044922,-24.83851432800293,-30.312366485595703,-30.90399742126465,-27.455829620361328,-48.88118362426758,-41.70623779296875,-49.16643142700195
les chirurgiens sont jeunes,-39.986080169677734,-33.21946716308594,-36.4039192199707,-18.955251693725586,-17.890361785888672,-18.757984161376953,-31.459476470947266,-39.73270797729492,-36.12528991699219,-14.316158294677734,-14.52197265625,-16.195688247680664,-26.293846130371094,-25.94337272644043,-26.245073318481445,-54.92011642456055,-49.750450134277344,-52.3990592956543
les chirurgiens est jeune,-39.147972106933594,-35.33832550048828,-32.60234451293945,-22.89164924621582,-22.27753448486328,-24.96332550048828,-30.900270462036133,-36.1810302734375,-26.44462013244629,-19.135616302490234,-17.775583267211914,-21.888769149780273,-28.923316955566406,-31.182353973388672,-27.2562255859375,-49.58427810668945,-47.46437454223633,-54.97323989868164
les chirurgiens sont petits,-32.81612777709961,-27.090084075927734,-26.988046646118164,-18.217472076416016,-17.696012496948242,-17.702373504638672,-21.102928161621094,-32.83777618408203,-22.708127975463867,-15.260887145996094,-11.470611572265625,-14.069746017456055,-21.850486755371094,-23.66399383544922,-22.145103454589844,-43.128421783447266,-36.570030212402344,-39.920467376708984
les chirurgiens est petit,-36.53373336791992,-33.603641510009766,-28.18112564086914,-22.225881576538086,-21.00101089477539,-23.731882095336914,-27.08262062072754,-34.38397216796875,-20.39629554748535,-20.692737579345703,-16.34026336669922,-19.367589950561523,-27.371379852294922,-28.66714859008789,-24.404577255249023,-46.907691955566406,-41.822532653808594,-45.13645553588867
les chirurgiens sont grands,-31.775035858154297,-26.77770233154297,-26.79385757446289,-17.651033401489258,-15.260013580322266,-16.473403930664062,-18.411867141723633,-29.772226333618164,-21.69024085998535,-14.789409637451172,-10.491378784179688,-13.722719192504883,-20.589859008789062,-20.869464874267578,-19.942108154296875,-46.241397857666016,-33.440616607666016,-39.53430938720703
les chirurgiens est grand,-36.14723205566406,-33.463096618652344,-28.626806259155273,-23.061357498168945,-21.84719467163086,-23.45893096923828,-28.369401931762695,-33.21725082397461,-22.205331802368164,-22.361026763916016,-18.285400390625,-22.14033317565918,-25.517532348632812,-27.64718246459961,-24.986190795898438,-47.25865936279297,-39.98745346069336,-47.507450103759766
les chirurgiens déménagent,-38.828556060791016,-35.751670837402344,-34.936004638671875,-52.238285064697266,-58.92205047607422,-48.95792770385742,-35.92620086669922,-42.693965911865234,-32.14946746826172,-46.84587097167969,-62.61442184448242,-57.520477294921875,-73.54829406738281,-80.46114349365234,-78.81297302246094,-43.63269805908203,-50.711849212646484,-48.273841857910156
les chirurgiens déménage,-35.72966003417969,-33.02704620361328,-32.11602783203125,-52.63071823120117,-58.10574722290039,-52.54728317260742,-34.41515350341797,-48.26781463623047,-33.343318939208984,-50.709869384765625,-59.04209899902344,-58.53368377685547,-75.1707763671875,-76.22212219238281,-76.2208023071289,-49.808326721191406,-48.27782440185547,-46.02329635620117
les chirurgiens parlent,-29.96051788330078,-24.064762115478516,-28.91603660583496,-12.838418006896973,-10.73090934753418,-11.039339065551758,-18.413341522216797,-29.586109161376953,-24.076215744018555,-10.817827224731445,-8.025405883789062,-5.102305889129639,-18.305362701416016,-21.68804168701172,-20.24413299560547,-39.18519592285156,-41.056610107421875,-41.728271484375
les chirurgiens parle,-33.649566650390625,-27.69266128540039,-30.175233840942383,-16.627971649169922,-18.034427642822266,-17.58414077758789,-26.99176025390625,-31.785478591918945,-28.010927200317383,-15.184507369995117,-16.275577545166016,-14.702625274658203,-20.074703216552734,-25.3999080657959,-22.702661514282227,-42.69858169555664,-43.980804443359375,-44.04090881347656
les chirurgiens retournent,-35.42860794067383,-32.33177185058594,-30.82123374938965,-17.65709686279297,-13.887133598327637,-14.457988739013672,-34.05567169189453,-38.017677307128906,-29.635435104370117,-16.153032302856445,-9.750956535339355,-9.370817184448242,-23.424606323242188,-27.029159545898438,-21.323543548583984,-45.939491271972656,-45.951969146728516,-47.211830139160156
les chirurgiens retourne,-33.55146789550781,-30.871055603027344,-30.592634201049805,-22.0703125,-19.666034698486328,-20.795047760009766,-31.877788543701172,-36.53535461425781,-30.583847045898438,-25.312883377075195,-17.712404251098633,-20.25602149963379,-24.575450897216797,-26.70677947998047,-24.506725311279297,-48.46603012084961,-41.780609130859375,-49.51309585571289
les sénateurs sont vieux,-30.762561798095703,-32.526123046875,-31.327821731567383,-51.58670425415039,-62.362369537353516,-53.60946273803711,-43.88339614868164,-47.22676086425781,-46.240596771240234,-64.38632202148438,-71.40122985839844,-62.002017974853516,-57.043792724609375,-59.94234085083008,-52.06578063964844,-53.136260986328125,-46.8389892578125,-40.813087463378906
les sénateurs est vieux,-32.21616744995117,-32.3239631652832,-32.378353118896484,-57.40806198120117,-70.46134948730469,-60.17570495605469,-50.62469482421875,-53.716209411621094,-45.69916534423828,-70.64847564697266,-81.17279052734375,-68.21157836914062,-65.42530822753906,-64.33415985107422,-58.30330276489258,-57.52946853637695,-51.937435150146484,-45.28704833984375
les sénateurs sont jeunes,-34.641510009765625,-37.075782775878906,-38.81471252441406,-50.671051025390625,-62.709747314453125,-52.736656188964844,-46.35154724121094,-54.44563293457031,-52.92940902709961,-60.801937103271484,-69.45027160644531,-59.22382736206055,-56.85160446166992,-57.851253509521484,-53.340232849121094,-64.310302734375,-59.19680404663086,-55.64727783203125
les sénateurs est jeune,-32.956546783447266,-32.51408767700195,-34.16958236694336,-55.29059982299805,-69.73332214355469,-59.72484588623047,-48.245849609375,-55.31736755371094,-47.971412658691406,-70.17402648925781,-77.50162506103516,-69.50083923339844,-62.84806823730469,-60.448814392089844,-59.25798034667969,-61.67182159423828,-55.28301239013672,-52.40619659423828
les sénateurs sont petits,-28.720890045166016,-30.377946853637695,-29.307758331298828,-49.52946472167969,-63.076332092285156,-52.47099304199219,-36.986358642578125,-48.09211730957031,-41.17289352416992,-60.09284210205078,-69.93829345703125,-60.04426956176758,-53.16845703125,-55.57627487182617,-48.385887145996094,-52.404541015625,-47.543975830078125,-43.240478515625
les sénateurs est petit,-31.24410629272461,-34.33943557739258,-32.51128005981445,-54.60018539428711,-69.05009460449219,-58.09763717651367,-45.38357162475586,-56.91326141357422,-46.48210144042969,-67.75240325927734,-78.83386993408203,-64.81756591796875,-62.336063385009766,-59.9776725769043,-52.804039001464844,-59.88031768798828,-54.675140380859375,-47.83259201049805
les sénateurs sont grands,-28.841670989990234,-30.4825382232666,-28.967872619628906,-48.38960266113281,-60.49693298339844,-50.90705871582031,-37.5800895690918,-46.34803771972656,-40.63955307006836,-57.7510986328125,-68.32843780517578,-58.05356216430664,-53.830196380615234,-55.13990783691406,-47.1492919921875,-51.14678955078125,-46.20454025268555,-45.650146484375
les sénateurs est grand,-30.85067367553711,-32.71641159057617,-33.00569534301758,-55.65650939941406,-69.7851333618164,-57.10386657714844,-47.31095504760742,-55.26768493652344,-46.72320556640625,-70.24935150146484,-77.74955749511719,-67.84677124023438,-62.755226135253906,-60.203392028808594,-55.242279052734375,-58.750247955322266,-53.17327117919922,-50.392417907714844
les sénateurs déménagent,-36.55779266357422,-36.19151306152344,-35.502925872802734,-76.5626220703125,-104.96350860595703,-82.73375701904297,-47.57854461669922,-52.12471008300781,-45.1397705078125,-85.50566101074219,-121.19939422607422,-106.84860229492188,-102.77296447753906,-105.81097412109375,-105.26390075683594,-48.60313415527344,-48.07889938354492,-53.009342193603516
les sénateurs déménage,-32.72068405151367,-35.17202377319336,-34.291141510009766,-76.87945556640625,-103.85517120361328,-85.85385131835938,-51.09090042114258,-57.92039489746094,-50.81981658935547,-92.5589828491211,-116.56292724609375,-108.15939331054688,-104.78157806396484,-101.77586364746094,-105.0218734741211,-51.08685302734375,-45.704978942871094,-45.629966735839844
les sénateurs parlent,-26.778335571289062,-29.78755760192871,-31.228008270263672,-43.361183166503906,-55.309078216552734,-46.090797424316406,-38.40497970581055,-47.21246337890625,-45.47199249267578,-53.68315124511719,-63.574371337890625,-54.16702651977539,-53.10578536987305,-51.321468353271484,-46.37751007080078,-54.92853546142578,-49.241554260253906,-52.69844436645508
les sénateurs parle,-27.9681396484375,-30.405607223510742,-31.801633834838867,-45.489749908447266,-61.943450927734375,-51.6529655456543,-40.551902770996094,-46.281349182128906,-45.50587844848633,-60.266632080078125,-72.20109558105469,-61.26091766357422,-54.82460021972656,-56.11405563354492,-53.40990447998047,-49.343265533447266,-49.06055450439453,-47.527984619140625
les sénateurs retournent,-31.914291381835938,-36.70402526855469,-32.99216842651367,-46.75477600097656,-56.16333770751953,-48.78069305419922,-48.00506591796875,-53.31341552734375,-48.55220413208008,-58.519351959228516,-64.1730728149414,-58.48215103149414,-56.04674530029297,-55.17106628417969,-50.73925018310547,-49.748653411865234,-47.951454162597656,-47.97742462158203
les sénateurs retourne,-30.97246551513672,-32.28444290161133,-33.31718826293945,-51.34926223754883,-64.02699279785156,-58.026424407958984,-46.0660400390625,-49.825279235839844,-48.01518630981445,-65.58352661132812,-76.2128677368164,-69.7021713256836,-59.868011474609375,-54.28134536743164,-56.21467590332031,-49.18473434448242,-45.710269927978516,-49.74288558959961
les professeurs sont vieux,-33.47160720825195,-31.81374740600586,-28.80374526977539,-24.960588455200195,-23.70566177368164,-24.169219970703125,-41.81898880004883,-32.79487991333008,-37.3593635559082,-29.284732818603516,-27.264888763427734,-28.294294357299805,-25.462669372558594,-24.374906539916992,-22.64017105102539,-39.98845672607422,-38.88690948486328,-41.29307174682617
les professeurs est vieux,-35.89366912841797,-32.34727096557617,-30.89346694946289,-29.819190979003906,-29.549379348754883,-30.50963592529297,-40.29399871826172,-35.9515380859375,-37.68655776977539,-33.569480895996094,-36.025245666503906,-35.97476577758789,-30.513572692871094,-31.047075271606445,-27.210193634033203,-42.79505920410156,-44.208011627197266,-42.493896484375
les professeurs sont jeunes,-39.03719711303711,-36.022579193115234,-34.6710205078125,-22.985950469970703,-23.10248565673828,-22.90633773803711,-47.83113098144531,-41.12529754638672,-42.25083541870117,-23.154672622680664,-24.938682556152344,-24.26325035095215,-22.06915283203125,-20.710575103759766,-21.291748046875,-52.99730682373047,-48.771240234375,-46.684974670410156
les professeurs est jeune,-37.28697967529297,-33.10603332519531,-33.611637115478516,-27.896743774414062,-27.320247650146484,-29.221553802490234,-39.520755767822266,-40.84137725830078,-38.0338020324707,-29.682659149169922,-30.854888916015625,-32.33399963378906,-22.941875457763672,-23.097501754760742,-21.91718292236328,-43.322689056396484,-46.23573684692383,-44.317405700683594
les professeurs sont petits,-31.47557830810547,-30.860111236572266,-27.70280647277832,-23.011150360107422,-23.358652114868164,-22.16413116455078,-38.563636779785156,-34.726173400878906,-36.091575622558594,-25.330570220947266,-22.910419464111328,-23.051036834716797,-20.989639282226562,-24.31513214111328,-20.581340789794922,-42.19186782836914,-41.91148376464844,-37.16041564941406
les professeurs est petit,-35.44584274291992,-32.99203109741211,-30.148591995239258,-27.61156463623047,-26.438034057617188,-27.683103561401367,-39.53644943237305,-38.96723937988281,-31.797080993652344,-29.22409439086914,-31.84306526184082,-30.504711151123047,-27.228897094726562,-27.298851013183594,-22.044097900390625,-43.149871826171875,-46.86986541748047,-39.532325744628906
les professeurs sont grands,-30.670028686523438,-29.159748077392578,-26.862051010131836,-21.922489166259766,-20.75121307373047,-21.81273651123047,-37.99342727661133,-29.415374755859375,-32.28063201904297,-21.611602783203125,-21.389930725097656,-22.319427490234375,-20.29340362548828,-19.78177261352539,-17.351924896240234,-38.92840576171875,-36.41386032104492,-35.081119537353516
les professeurs est grand,-34.22759246826172,-31.97602653503418,-31.18094253540039,-27.770442962646484,-26.205293655395508,-26.804494857788086,-43.082786560058594,-37.040008544921875,-31.209102630615234,-32.96195602416992,-32.529808044433594,-32.07142639160156,-26.19522476196289,-24.487239837646484,-23.50958251953125,-41.20934295654297,-43.60287094116211,-40.15137481689453
